Boba_pl,Address,Latitude,Longitude
Dingtea Cơ sở 33,"Số 2 Nguyễn Xiển, Hà Nội",21.028687,105.849682
Dingtea Cơ sở 34,"Số 1 Nhà Chung, Hà Nội",21.041776,105.84732
Dingtea Cơ sở 35,"27 Hàng Than, Ha Nội",20.9952,105.869431
Dingtea Cơ sở 36,"Đ1-20 tầng B1T4 TTTM Times City, Hà Nội",21.0033684,105.8162791
Dingtea Cơ sở 37,"B2-R4-10B TTTM Royal City, Hà Nội",21.023964,105.853637
Dingtea Cơ sở 38,"23E Hai Ba Trưng, Hà Nội",21.0011789,105.8452928
Dingtea Cơ sở 39,"157 Trần Đại Nghĩa, Hà Nội",21.030038,105.841724
Dingtea Cơ sở 40,"22 Điện Biên Phủ, Hà Nội",20.96051,105.8128925
Dingtea Cơ sở 41,"100 Kim Giang, Hà Nội",21.036845,105.763798
Dingtea Cơ sở 42,"103 Cầu Diễn, Hà Nội",21.027797,105.799671
Dingtea Cơ sở 43,"1194 Đường Láng, Hà Nội",21.019333,105.832689
Dingtea Cơ sở 44,"241 Khâm Thiên, Hà Nội",21.047949,105.873304
Dingtea Cơ sở 45,"355 Ngọc Lâm, Hà Nội",21.0213789,105.8180141
Dingtea Cơ sở 46,"50 Láng Hạ, Hà Nội",21.036371,105.787315
Dingtea Cơ sở 47,"169 Xuân Thủy, Hà Nội",21.0186959,105.810309
Dingtea Cơ sở 48,"47 Huỳnh Thúc Kháng, Hà Nội",20.9696874,105.830065
Dingtea Cơ sở 49,"HH1A Bán đảo Linh Đàm, Hà Nội",21.009338,105.860625
Dingtea Cơ sở 50,"252 Trần Khát Chân, Hà Nội",21.0460394,105.7855047
Dingtea Cơ sở 51,"439 Hoàng Quốc Việt, Hà Nội",21.003131,105.864721
Dingtea Cơ sở 52,"156 Lạc Trung, Hà Nội",21.030554,105.825653
Dingtea Cơ sở 53,"46 Kim Mã, Hà Nội",21.047906,105.806055
Dingtea Cơ sở 54,"59 Lạc Long Quân, Hà Nội",20.9690967,105.7737516
Dingtea Cơ sở 55,"185 Quang Trung, Hà Đông, Hà Nội",21.003711,105.835934
Dingtea Cơ sở 56,"150 Lương Định Của, Hà Nội",21.0110752,105.8306142
Dingtea Cơ sở 57,"1C Hồ Đắc Di, Hà Nội",21.0104809,105.9348551
Dingtea Cơ sở 58,"279 Ngô Xuân Quảng, Hà Nội",21.0343413,105.7703014
Dingtea Cơ sở 59,"Sun Square 21 Lê Đức Thọ, Hà Nội",21.0152451,105.777822
Dingtea Cơ sở 60,"TTTM The Garden Mễ Trì, Hà Nội",21.0017989,105.818548
Dingtea Cơ sở 61,"81 Nguyễn Trãi, Hà Nội",20.9731609,105.9232051
Dingtea Cơ sở 62,"18 Phố Trúc, Ecopark",21.000809,105.850634
Dingtea Cơ sở 63,"425 Bạch Mai, Hà Nội",20.9857871,105.8578627
Dingtea Cơ sở 64,"69 Lô 7, Đền Lừ 2, Hà Nội",21.0073835,105.8056459
Dingtea Cơ sở 65,"42 Nguyễn Thị Định, Hà Nội",20.999715,105.828275
Dingtea Cơ sở 66,"BigC số 3 Lê Trọng Tấn, Hà Nội",21.0060977,105.8547291
Dingtea Cơ sở 67,"58 Võ Thị Sáu, Hà Nội",21.066611,105.806606
Dingtea Cơ sở 68,"28A Xuân La, Hà Nội",21.0562925,105.7299918
Dingtea Cơ sở 69,"105 Phố Nhổn, Hà Nội",21.027451,105.8220947
Dingtea Cơ sở 70,"125 Trần Huy Liệu, Hà Nội",20.9865989,105.8326445
Dingtea Cơ sở 71,"32 Trần Nguyên Đán, Định Công, Hà Nội",21.01875,105.801655
Dingtea Cơ sở 72,"85 Nguyễn Khang, Hà Nội",20.9569987,105.8070074
Dingtea Cơ sở 73,"CT8B Khu đô thị Đại Thanh, Hà Nội",20.8694694,105.8643921
Dingtea Cơ sở 74,"47B Trần Phú, Thường Tín, Hà Nội",21.0650499,105.7641405
Dingtea Cơ sở 75,"Học viện cảnh sát, Bắc Từ Liêm, Hà Nội",21.1368798,105.5044344
Dingtea Cơ sở 76,"13 Nguyễn Thái Học, Sơn Tây, Hà Nội",20.983833,105.773711
Dingtea Cơ sở 77,"Số 3A2 Shop House Vạn Phúc, Tố Hữu, Hà Nội",20.997446,105.803455
Dingtea Cơ sở 78,"A6-A7, Tầng 1 Tòa A TTTM Imperia Garden, Hà Nội",21.0200773,105.8263479
Bobapop - Taiwan Lattea 166 Ô Chợ Dừa,"166 phố Ô Chợ Dừa, phường Ô Chợ Dừa, quận Đống Đa, Hanoi",21.0029914,105.8667444
Bobapop - 232 Lạc Trung,"232 Lạc Trung - Hai Bà Trưng, Hanoi, Vietnam",21.0151471,105.8177087
Bobapop - Taiwan Lattea 290 Thái Hà,"290 Thái Hà, Hanoi, Vietnam",21.029028,105.856491
Bobapop - 7 Trần Nguyên Hãn Hà Nội,"Số 7 Trần Nguyên Hãn , Hoàn Kiếm, Hanoi, Vietnam",21.0394112,105.7907172
Bobapop - 56 Nguyễn Phong Sắc,"56 Nguyễn Phong Sắc, Hanoi, Vietnam",20.9844003,105.7933862
"Bobapop - 50 Trần Phú, Hà Đông","50 Trần Phú, Hà Đông, Hanoi, Vietnam",20.9837383,105.8486099
Bobapop - Taiwan Lattea 120 Tân Mai,"120 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hanoi",21.0092622,105.8504775
Bobapop - Taiwan Lattea 7 Lê Đại Hành,"7 Lê Đại Hành, Hai Bà Trưng, Hanoi, Vietnam",21.022892,105.808883
Bobapop - 10 Chùa Láng,"10 Chùa Láng, Hanoi, Vietnam",21.0196168,105.8013395
Bobapop - Số 18 Nguyễn Khang,"18 đường Nguyễn Khang, phường Yên Hòa, Quận Cầu Giấy, Hà Nội",21.0158244,105.8513956
Bobapop Phố Huế,"132 Phố Huế, Hanoi, Vietnam",21.027389,105.89911
Bobapop - Aeon Mall Long Biên,"Tầng 3, Aeon Long Biên,Hanoi, Vietnam",20.988945,105.8048318
Bobapop - Taiwan Lattea 18 Nguyễn Xiển,"18 Nguyễn Xiển, Thanh Xuân, Hanoi, Vietnam",21.038415,105.772479
Bobapop - Số 6 Hồ Tùng Mậu,"Số 6 Hồ Tùng Mậu,Mai Dịch, Cầu Giấy, Mai Dich, Ha Noi, Vietnam",21.0337086,105.8059226
Bobapop Dao Tan,"103 Đào Tấn, Ngọc Khánh, Ba Đình, Hà Nội, Vietnam",21.0099241,105.8358153
Bobapop - Taiwan Lattea 5B7 Phạm Ngọc Thạch,"5B7 Phạm Ngọc Thạch, Hanoi, Vietnam",20.9979109,105.8133579
Bobapop - 8 Thượng Đình,"Số 8 Thượng Đình,Khương Đình,Thanh Xuân, Hanoi, Vietnam",21.0134996,105.8192473
TocoToco - Thái Hà,188 Thái Hà - Đống Đa - Hà Nội,21.041501,105.842357
TocoToco - Cửa Bắc,"92 Cửa Bắc, Ba Đình, Hà Nội",21.0550831,105.7630757
TocoToco - Phú Diễn,"118 Phú Diễn, Q.Bắc Từ Liêm, Hà Nội",21.0651094,105.7160469
TocoToco - Lai Xá,"Lai Xá, Hoài Đức, Hà Nội",21.0207899,105.8006957
TocoToco - Nguyễn Khang - Cầu Giấy,"28B Nguyễn Khang,Cầu Giấy,HN",21.0011521,105.8452963
TocoToco - Trần Đại Nghĩa,"66 Trần Đại Nghĩa, HBT, Hà Nội",21.0865201,105.7385336
TocoToco - Nhổn,"20 Nhổn,P.Tây Tựu, Bắc Từ Liêm",21.041548,105.794254
TocoToco - Tô Hiệu,"175 Tô Hiệu,Dịch Vọng, Cầu Giấy",21.030552,105.817409
TocoToco - Kim Mã,"331 Kim Mã, Ba Đình, Hà Nội",20.9973027,105.8503965
TocoToco - 459 Bạch Mai,"459 Bạch Mai, HBT, Hà Nội",20.9823988,105.7893303
TocoToco - Nguyễn Văn Lộc - Hà Đông,"15 Nguyễn Văn Lộc, Hà Đông",21.016277,105.6031342
TocoToco - Thạch Thất,"Bình Phú, Thạch Thất, Hà Nội",21.0830194,105.6731923
TocoToco - Phùng,"115 Tây Sơn, Đan Phượng, Hà Nội",21.0482891,105.8744495
TocoToco - Mipec Long Biên,"Ngọc Lâm, Long Biên, Hà Nội",20.9950183,105.869116
TocoToco - Time City,"K4 - Đường Thanh Niên, Time City",20.921112,105.8532018
